2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_06_L.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_07_H.wav
2024-02-12 17:31:25,576 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_07_H.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_07_H.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_07_L.wav
2024-02-12 17:31:25,576 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_07_L.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_07_L.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_08_H.wav
2024-02-12 17:31:25,576 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_08_H.wav
2024-02-12 17:31:25,576 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_08_H.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_08_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_08_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_08_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_09_H.wav
2024-02-12 17:31:25,577 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_09_H.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_09_H.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_09_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_09_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_09_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_10_H.wav
2024-02-12 17:31:25,577 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_10_H.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_10_H.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_10_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_10_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_10_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_01_L.wav
2024-02-12 17:31:25,577 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_02_L.wav
